t,price,production,soc,action,reward,cumulative_profit,total_soc,energy_charged,energy_discharged
349,63.53,10.914097,0.675,1,0.6933725425981186,281.4719816621934,2.7142684052135726,0.0,0.0
350,65.27,3.215956,0.675,2,13.427080441098717,294.8990621032921,3.3892684052135724,0.0,202.5
351,67.01,3.592251,0.0,2,0.2407167443262552,295.1397788476184,3.3892684052135724,0.0,0.0
418,149.838,2.4367642,0.0,2,0.36511987835671084,295.5048987259751,3.3892684052135724,0.0,0.0
419,151.05,5.0950522,0.0,2,0.769607676528813,296.27450640250396,3.3892684052135724,0.0,0.0
420,151.785,7.974865,0.0,2,1.210464845372057,297.484971247876,3.3892684052135724,0.0,0.0
421,152.52,12.626869,0.0,2,1.9258500873531512,299.4108213352291,3.3892684052135724,0.0,0.0
422,153.255,17.05735,0.0,1,2.6141241120603858,302.0249454472895,3.3892684052135724,0.0,0.0
423,153.99,16.835825,0.0,1,2.5925487800639195,304.6174942273534,3.3892684052135724,0.0,0.0
424,151.833,23.565088,0.0,1,3.5779581851318647,308.1954524124853,3.3892684052135724,0.0,0.0
425,149.675,23.249554,0.0,1,3.4798770229958085,311.6753294354811,3.3892684052135724,0.0,0.0
426,147.518,25.496956,0.0,1,3.7612600343322318,315.4365894698133,3.3892684052135724,0.0,0.0
427,145.36,22.681751,0.0,1,3.2970194230639502,318.73360889287727,3.3892684052135724,0.0,0.0
428,145.4,17.836765,0.0,1,2.593465650028412,321.3270745429057,3.3892684052135724,0.0,0.0
429,145.44,18.567598,0.0,1,2.7004715758057274,324.0275461187114,3.3892684052135724,0.0,0.0
430,145.48,19.544401,0.0,1,2.8433195093303283,326.87086562804177,3.3892684052135724,0.0,0.0
431,145.52,20.766281,0.0,1,3.0219093410670106,329.89277496910876,3.3892684052135724,0.0,0.0
432,147.17,34.297504,0.0,1,5.047563923821013,334.9403388929298,3.3892684052135724,0.0,0.0
433,148.82,25.034676,0.0,1,3.7256605528519287,338.6659994457817,3.3892684052135724,0.0,0.0
434,150.47,19.891972,0.0,1,2.993144924987321,341.65914437076907,3.3892684052135724,0.0,0.0
435,152.12,22.298538,0.0,1,3.392053645565494,345.0511980163346,3.3892684052135724,0.0,0.0
436,151.9,26.699179,0.0,1,4.0556051673578635,349.1068031836924,3.3892684052135724,0.0,0.0
437,151.68,28.113312,0.0,1,4.264226991383951,353.3710301750764,3.3892684052135724,0.0,0.0
438,151.46,24.681843,0.0,1,3.7383120431898704,357.10934221826625,3.3892684052135724,0.0,0.0
439,151.24,21.259878,0.0,1,3.215343957700428,360.3246861759667,3.3892684052135724,0.0,0.0
440,153.562,19.599215,0.0,1,3.0096945721029984,363.3343807480697,3.3892684052135724,0.0,0.0
441,155.885,16.246796,0.0,2,2.532631868002562,365.86701261607226,3.3892684052135724,0.0,0.0
442,158.208,18.799688,0.0,1,2.974261166286319,368.8412737823586,3.3892684052135724,0.0,0.0
443,160.53,15.567882,0.0,2,2.4991120874159316,371.34038586977454,3.3892684052135724,0.0,0.0
444,164.135,15.1797495,0.0,2,2.4915281823339313,373.83191405210846,3.3892684052135724,0.0,0.0
445,167.74,6.872959,0.0,2,1.152870158753881,374.98478421086236,3.3892684052135724,0.0,0.0
446,171.345,3.2911406,0.0,2,0.5639204717665915,375.54870468262897,3.3892684052135724,0.0,0.0
447,174.95,1.1331924,0.0,2,0.1982520066601948,375.74695668928916,3.3892684052135724,0.0,0.0
514,106.703,2.8472517,0.0,2,0.3038102867522722,376.0507669760414,3.3892684052135724,0.0,0.0
515,105.01,6.032239,0.0,2,0.6334454278002215,376.6842124038416,3.3892684052135724,0.0,0.0
516,104.705,8.0083275,0.0,2,0.8385119078703638,377.522724311712,3.3892684052135724,0.0,0.0
517,104.4,7.521404,0.0,2,0.785234558044433,378.3079588697564,3.3892684052135724,0.0,0.0
518,104.095,6.6678824,0.0,2,0.6940932146532668,379.0020520844097,3.3892684052135724,0.0,0.0
519,103.79,10.199731,0.0,2,1.0586300610402708,380.06068214544996,3.3892684052135724,0.0,0.0
520,103.495,14.247289,0.0,1,1.4745231746025775,381.5352053200525,3.3892684052135724,0.0,0.0
521,103.2,17.10483,0.0,1,1.765218430238796,383.3004237502913,3.3892684052135724,0.0,0.0
522,102.905,20.323221,0.0,1,2.0913610826337514,385.39178483292505,3.3892684052135724,0.0,0.0
523,102.61,24.95631,0.0,1,2.560766992095076,387.9525518250201,3.3892684052135724,0.0,0.0
524,100.123,24.726456,0.0,1,2.4756869781875457,390.42823880320765,3.3892684052135724,0.0,0.0
525,97.635,29.975185,0.0,1,2.9266271978627922,393.35486600107043,3.3892684052135724,0.0,0.0
526,95.147,61.44307,0.0,1,5.846123824708443,399.2009898257789,3.3892684052135724,0.0,0.0
527,92.66,62.983025,0.0,1,5.836006905512945,405.0369967312918,3.3892684052135724,0.0,0.0
528,94.975,37.830494,0.0,1,3.5929512602105595,408.6299479915024,3.3892684052135724,0.0,0.0
529,97.29,25.201756,0.0,1,2.451878859141458,411.08182685064384,3.3892684052135724,0.0,0.0
530,99.605,26.183191,0.0,1,2.6079768557797407,413.68980370642356,3.3892684052135724,0.0,0.0
531,101.92,18.942184,0.0,1,1.930587355427423,415.62039106185097,3.3892684052135724,0.0,0.0
532,107.0,19.679293,0.0,1,2.1056843149501363,417.7260753768011,3.3892684052135724,0.0,0.0
533,112.08,18.468506,0.0,1,2.0699500347746684,419.7960254115757,3.3892684052135724,0.0,0.0
534,117.16,13.4807005,0.0,1,1.5793989242123159,421.37542433578807,3.3892684052135724,0.0,0.0
535,122.24,32.609684,0.0,1,3.986207907735145,425.3616322435232,3.3892684052135724,0.0,0.0
536,125.715,13.726329,0.0,1,1.725605439593965,427.08723768311717,3.3892684052135724,0.0,0.0
537,129.19,8.827928,0.0,2,1.1404799152691767,428.22771759838633,3.3892684052135724,0.0,0.0
538,132.665,9.305677,0.0,2,1.2345376563156756,429.46225525470203,3.3892684052135724,0.0,0.0
539,136.14,10.042831,0.0,2,1.3672310346370429,430.82948628933906,3.3892684052135724,0.0,0.0
540,140.467,12.92392,0.0,2,1.8153842129140874,432.6448705022531,3.3892684052135724,0.0,0.0
541,144.795,9.783981,0.0,2,1.4166715900041962,434.0615420922573,3.3892684052135724,0.0,0.0
542,149.123,3.812864,0.0,2,0.5685857437218768,434.6301278359792,3.3892684052135724,0.0,0.0
543,153.45,0.8904389,0.0,2,0.13663784882021027,434.7667656847994,3.3892684052135724,0.0,0.0
613,93.225,0.44304803,0.0,2,0.04130315366026141,434.80806883845963,3.3892684052135724,0.0,0.0
614,93.513,0.88609606,0.0,2,0.08286150299237384,434.890930341452,3.3892684052135724,0.0,0.0
615,93.8,1.5506681,0.0,2,0.14545267199424858,435.03638301344625,3.3892684052135724,0.0,0.0
616,92.325,4.2089562,0.0,2,0.388591899018445,435.4249749124647,3.3892684052135724,0.0,0.0
617,90.85,5.5381007,0.0,2,0.5031364320239675,435.9281113444886,3.3892684052135724,0.0,0.0
618,89.375,5.0950522,0.0,2,0.4553703150596668,436.3834816595483,3.3892684052135724,0.0,0.0
619,87.9,12.626869,0.0,1,1.1099018009332675,437.49338346048154,3.3892684052135724,0.0,0.0
620,88.655,18.16497,0.0,1,1.6104153885520998,439.10379884903364,3.3892684052135724,0.0,0.0
621,89.41,16.392778,0.0,1,1.465678239144725,440.56947708817836,3.3892684052135724,0.0,0.0
622,90.165,11.519249,0.0,1,1.038633092992376,441.60811018117073,3.3892684052135724,0.0,0.0
623,90.92,5.9811487,0.0,2,0.5438060269850155,442.15191620815574,3.3892684052135724,0.0,0.0
624,89.755,2.8798122,0.0,2,0.2584775502177416,442.41039375837346,3.3892684052135724,0.0,0.0
625,88.59,3.9874325,0.0,2,0.35324663389501776,442.7636403922685,3.3892684052135724,0.0,0.0
626,87.425,3.7659082,0.0,2,0.3292345376708073,443.0928749299393,3.3892684052135724,0.0,0.0
627,86.26,7.3102927,0.0,2,0.6305858468556017,443.72346077679487,3.3892684052135724,0.0,0.0
628,86.918,8.639437,0.0,2,0.750922568430472,444.47438334522536,3.3892684052135724,0.0,0.0
629,87.575,4.4304805,0.0,2,0.38799932226306183,444.8623826674884,3.3892684052135724,0.0,0.0
630,88.233,3.5443842,0.0,2,0.3127316627004212,445.1751143301888,3.3892684052135724,0.0,0.0
631,88.89,2.2152402,0.0,2,0.19691270200378855,445.3720270321926,3.3892684052135724,0.0,0.0
632,90.043,2.4367642,0.0,2,0.21941356135875623,445.59144059355134,3.3892684052135724,0.0,0.0
633,91.195,3.7659082,0.0,2,0.3434320121577268,445.9348726057091,3.3892684052135724,0.0,0.0
634,92.347,2.2152402,0.0,2,0.20457078739952583,446.1394433931086,3.3892684052135724,0.0,0.0
635,93.5,2.6582882,0.0,2,0.24854995122989165,446.3879933443385,3.3892684052135724,0.0,0.0
636,95.343,0.88609606,0.0,2,0.08448305882392713,446.47247640316243,3.3892684052135724,0.0,0.0
706,91.928,0.21935147,0.0,2,0.02016454129962285,446.49264094446204,3.3892684052135724,0.0,0.0
707,95.28,2.228722,0.0,2,0.21235263781439329,446.7049935822764,3.3892684052135724,0.0,0.0
708,97.885,5.9705157,0.0,2,0.5844239519033738,447.2894175341798,3.3892684052135724,0.0,0.0
709,100.49,4.767509,0.0,2,0.4790869598639108,447.7685044940437,3.3892684052135724,0.0,0.0
710,103.095,5.931973,0.0,2,0.6115567309049553,448.3800612249487,3.3892684052135724,0.0,0.0
711,105.7,7.86384,0.0,2,0.8312078935677669,449.21126911851644,3.3892684052135724,0.0,0.0
712,103.308,17.714882,0.0,1,1.8300889326787688,451.04135805119523,3.3892684052135724,0.0,0.0
713,100.915,25.507675,0.0,1,2.5741070488114306,453.61546510000665,3.3892684052135724,0.0,0.0
714,98.522,25.027868,0.0,1,2.4657956115450115,456.08126071155164,3.3892684052135724,0.0,0.0
715,96.13,20.804512,0.0,1,1.9999376709521446,458.08119838250377,3.3892684052135724,0.0,0.0
716,94.808,23.838701,0.0,1,2.2600995560158763,460.34129793851963,3.3892684052135724,0.0,0.0
717,93.485,22.414091,0.0,1,2.0953812253424102,462.43667916386204,3.3892684052135724,0.0,0.0
718,92.162,25.64235,0.0,1,2.363250248088754,464.7999294119508,3.3892684052135724,0.0,0.0
719,90.84,25.490978,0.0,1,2.315600491784353,467.1155299037352,3.3892684052135724,0.0,0.0
720,92.055,25.97558,0.0,1,2.3911820950899942,469.5067119988252,3.3892684052135724,0.0,0.0
721,93.27,25.936129,0.0,1,2.4190626975566993,471.9257746963819,3.3892684052135724,0.0,0.0
722,94.485,27.68585,0.0,1,2.615897582826304,474.54167227920817,3.3892684052135724,0.0,0.0
723,95.7,27.191711,0.0,1,2.602246801911973,477.14391908112015,3.3892684052135724,0.0,0.0
724,101.26,31.989254,0.0,1,3.2392318053012183,480.3831508864214,3.3892684052135724,0.0,0.0
725,106.82,31.664667,0.0,1,3.382419819710936,483.76557070613234,3.3892684052135724,0.0,0.0
726,112.38,24.31292,0.0,1,2.7322859050939448,486.49785661122627,3.3892684052135724,0.0,0.0
727,117.94,18.0563,0.0,1,2.129559844943037,488.6274164561693,3.3892684052135724,0.0,0.0
